age,attrition,dailyrate,distancefromhome,education,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,engagementscore,overtimestress,incomeperyearworked,promotiongap,department_Research & Development,department_Sales,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,businesstravel_Travel_Frequently,businesstravel_Travel_Rarely,maritalstatus_Married,maritalstatus_Single,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,tenurecategory_10+ yrs,tenurecategory_3-5 yrs,tenurecategory_6-9 yrs,gender_Male
41,1,1102,1,2,2,3,2,4,5993,19479,8,1,11,1,0,8,0,1,6,4,0,5,2.2,0,8989.5,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
49,0,279,8,1,3,2,2,2,5130,24907,1,0,23,4,1,10,3,3,10,7,1,7,2.8,0,6156.0,0.09090909090909091,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
37,1,1373,2,2,4,2,1,3,2090,2396,6,1,15,2,0,7,3,3,0,0,0,0,2.8,0,3582.8571428571427,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
33,0,1392,3,4,4,3,1,3,2909,23159,1,1,11,3,0,8,3,3,8,7,3,0,3.2,0,4363.5,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
27,0,591,2,1,1,3,1,2,3468,16632,9,0,12,4,1,6,3,3,2,2,2,2,2.6,0,6936.0,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
32,0,1005,2,2,4,3,1,4,3068,11864,0,0,13,3,0,8,2,2,7,7,3,6,3.2,0,4602.0,0.375,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
59,0,1324,3,3,3,4,1,1,2670,9964,4,1,20,1,3,12,3,2,1,0,0,0,2.2,0,2670.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
30,0,1358,24,1,4,3,1,3,2693,13335,1,0,22,2,1,1,2,3,1,0,0,0,3.0,0,32316.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,0,216,23,3,4,2,3,3,9526,8787,0,0,21,2,0,10,2,3,9,7,1,8,2.8,0,11431.2,0.1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
36,0,1299,27,3,3,3,2,3,5237,16577,6,0,13,2,2,17,3,2,7,7,7,7,2.6,0,3696.705882352941,0.875,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
35,0,809,16,3,1,4,1,2,2426,16479,0,0,13,3,1,6,5,3,5,4,0,3,2.6,0,4852.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
29,0,153,15,2,4,2,2,3,4193,12682,0,1,12,4,0,10,3,3,9,5,0,8,3.2,0,5031.6,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
31,0,670,26,1,1,3,1,3,2911,15170,1,0,17,4,1,5,1,2,5,2,4,3,2.6,0,6986.4,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
34,0,1346,19,2,2,3,1,4,2661,8758,0,0,11,3,1,3,2,3,2,2,1,2,3.0,0,10644.0,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
28,1,103,24,3,3,2,1,3,2028,12947,5,1,14,2,0,6,4,3,4,2,0,3,2.6,0,4056.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
29,0,1389,21,4,2,4,3,1,9980,10195,1,0,11,3,1,10,1,3,10,9,8,8,2.6,0,11976.0,0.7272727272727273,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
32,0,334,5,2,1,4,1,2,3298,15053,0,1,12,4,2,7,5,2,6,2,0,5,2.6,0,5653.714285714285,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
22,0,1123,16,2,4,4,1,4,2935,7324,1,1,13,2,2,1,2,2,1,0,0,0,3.2,0,35220.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,0,1219,2,4,1,2,4,4,15427,22021,2,0,16,3,0,31,3,3,25,8,3,7,2.6,0,5971.741935483871,0.11538461538461539,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
38,0,371,2,3,4,3,1,4,3944,4306,5,1,11,3,0,6,3,3,3,2,1,2,3.4,0,7888.0,0.25,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
24,0,673,11,2,1,4,2,3,4011,8232,0,0,18,4,1,5,5,2,4,2,1,3,2.8,0,9626.4,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36,1,1218,9,4,3,2,1,1,3407,6986,7,0,23,2,0,10,4,3,5,3,0,3,2.2,0,4088.4,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
34,0,419,7,4,1,3,3,2,11994,21293,0,0,11,3,0,13,4,3,12,6,2,11,2.4,0,11071.384615384615,0.15384615384615385,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
21,0,391,15,2,3,3,1,4,1232,19281,1,0,14,4,0,0,6,3,0,0,0,0,3.4,0,7213.333333333333,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
34,1,699,6,1,2,3,1,1,2960,17102,2,0,11,3,0,8,2,3,4,2,1,3,2.4,0,4440.0,0.2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
53,0,1282,5,3,3,3,5,3,19094,10735,4,0,11,4,1,26,3,2,14,13,4,8,3.0,0,8812.615384615385,0.26666666666666666,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
32,1,1125,16,1,2,1,1,1,3919,4681,1,1,22,2,0,10,5,3,10,2,6,7,1.8,0,4702.8,0.5454545454545454,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
42,0,691,8,4,3,3,2,2,6825,21173,0,0,11,4,1,10,2,3,9,7,4,2,3.0,0,8190.0,0.4,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
44,0,477,7,4,1,2,3,4,10248,2094,3,0,14,4,1,24,4,3,22,6,5,17,2.8,0,5124.0,0.21739130434782608,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
46,0,705,2,4,2,3,5,1,18947,22822,3,0,12,4,0,22,2,2,2,2,2,1,2.4,0,10334.727272727272,0.6666666666666666,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
33,0,924,2,3,3,3,1,4,2496,6670,4,0,11,4,0,7,3,3,1,1,0,0,3.4,0,4278.857142857143,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
